zip,lat,lon,min_lon,min_lat,max_lon,max_lat
14548,42.975394439374725,-77.24346280708008,-77.326266,42.921571,-77.157567,43.024354
14549,42.69673097478822,-78.02209732918419,-78.028168,42.688898,-78.016681,42.702836
14550,42.677537450351984,-78.09165524110155,-78.172692,42.634445,-78.022815,42.715444
14551,43.21880897447045,-77.04598217858025,-77.120402,43.139008,-76.963391,43.289241
14555,43.259261607409954,-76.98605121673448,-77.027213,43.235673,-76.945191,43.274498
14556,42.67903552601734,-77.83221776337237,-77.841669,42.66147,-77.819277,42.697951
14557,43.04809843207648,-78.06119325023462,-78.075959,43.03887,-78.044903,43.057185
14559,43.18825105157609,-77.81774978966982,-77.898149,43.127444,-77.741662,43.251528
14560,42.68714324690482,-77.57691304880456,-77.655865,42.591451,-77.504103,42.763186
14561,42.822160023020395,-77.1313480570028,-77.224296,42.755234,-77.049887,42.901274
14564,42.98327055060479,-77.42418930225699,-77.502478,42.924785,-77.360317,43.055957
14568,43.146556360970074,-77.2836158931453,-77.339944,43.093554,-77.234255,43.193391
14569,42.74008938661619,-78.17267559634679,-78.279424,42.650658,-78.053644,42.829854
14571,43.34395357752828,-78.24894583932837,-78.310548,43.306148,-78.168963,43.37391
14572,42.56685877008824,-77.5701987221702,-77.661273,42.450768,-77.47247,42.671012
14580,43.21942631787154,-77.44595042804805,-77.536919,43.16619,-77.365472,43.276896
14585,42.90582131481515,-77.552936591611,-77.557994,42.902257,-77.548557,42.909234
14586,43.04152840013025,-77.68696328747848,-77.730634,43.01696,-77.648356,43.076035
14588,42.67974638109476,-76.87039854219891,-76.883346,42.676071,-76.861659,42.683883
14589,43.23996027975904,-77.17223458224412,-77.252316,43.193463,-77.081211,43.289999
14590,43.2452788896759,-76.83095577943459,-76.963517,43.160512,-76.736948,43.323715
14591,42.828650397216904,-78.09365903503681,-78.170108,42.771661,-78.02531,42.884589
14592,42.86878624727641,-77.89056508126012,-77.899959,42.860103,-77.871326,42.875613
14604,43.15696336947198,-77.60512989287004,-77.613083,43.151084,-77.594114,43.162089
14605,43.16837108733117,-77.60178527176527,-77.623999,43.158296,-77.581442,43.175657
14606,43.170704469168726,-77.69934842625902,-77.753829,43.15159,-77.630769,43.192173
14607,43.15093210174139,-77.58680906181885,-77.607587,43.141773,-77.561945,43.161835
14608,43.15334774498047,-77.6236130982332,-77.637353,43.132956,-77.60933,43.174157
14609,43.17728365745247,-77.55235589711315,-77.591317,43.153357,-77.518598,43.203563
14610,43.14196279706327,-77.54625406363438,-77.57832,43.119288,-77.514163,43.162599
14611,43.14760084677784,-77.6473561659002,-77.673939,43.121661,-77.626025,43.160225
14612,43.266173922450676,-77.67557279984918,-77.751291,43.205682,-77.601951,43.315069
14613,43.182219919738245,-77.64075512277445,-77.659209,43.169527,-77.620488,43.193135
14614,43.15728407617161,-77.61461779251472,-77.621379,43.151205,-77.609155,43.165805
14615,43.203363015335306,-77.65634605782161,-77.680533,43.1792,-77.619678,43.238365
14616,43.234332695292494,-77.65821261432383,-77.733352,43.202877,-77.628641,43.252962
14617,43.22609340590828,-77.5924709384235,-77.623425,43.196138,-77.549804,43.25952
14618,43.1130337477751,-77.55547818193243,-77.606483,43.087265,-77.504842,43.139277
14619,43.13607390514002,-77.64897026034059,-77.665944,43.123242,-77.632493,43.147905
14620,43.12876697920955,-77.60461257010084,-77.634601,43.106047,-77.575187,43.151223
14621,43.18908529644072,-77.60414155923392,-77.628201,43.170042,-77.576652,43.248378
14622,43.214149489904635,-77.55350450110338,-77.580303,43.19182,-77.525221,43.240549
14623,43.08799465282087,-77.64315419650507,-77.730444,43.058541,-77.568251,43.12427
14624,43.12765596845947,-77.73178536543953,-77.819884,43.086306,-77.642539,43.16572
14625,43.148909142596786,-77.50548879075102,-77.531574,43.118535,-77.479552,43.180147
14626,43.21350053908794,-77.71271704346738,-77.759955,43.173908,-77.671293,43.25294
14627,43.12935786055477,-77.62907089872034,-77.635224,43.123226,-77.619768,43.133648
14642,43.12283367732546,-77.62511449187377,-77.629484,43.121332,-77.621401,43.124542
14701,42.08095151839535,-79.25501143755098,-79.367511,41.998705,-79.14523,42.210212
14706,42.106637126183266,-78.527952723385,-78.62478,42.003477,-78.434106,42.219606
14707,42.08261826794946,-78.06198267882202,-78.074215,42.071848,-78.042202,42.090418
14708,42.014205234872016,-78.06985058891824,-78.121515,41.999302,-78.006203,42.044224
14709,42.35278241397357,-77.98265986202598,-78.074174,42.26491,-77.878772,42.435391
14710,42.08959938340424,-79.4230949241674,-79.527381,41.998404,-79.351605,42.170767
14711,42.32088827593404,-78.1262701173089,-78.225945,42.260207,-78.038418,42.385311
14712,42.181647978489494,-79.36805917720194,-79.439825,42.115284,-79.30283,42.228112
14714,42.28367657811349,-78.2349151468872,-78.283964,42.253005,-78.172139,42.320786
14715,42.073226158707435,-78.1483040626549,-78.256724,42.000281,-78.05269,42.138278
